Species,Location,Bodypart,Measure,Zone
GWTS,Ireland,Body,50.5,Inside
GWTS,Ireland,Body,49.3,Inside
GWTS,Ireland,Body,47.1,Inside
GWTS,Ireland,Body,52.3,Inside
Pygmy,Ireland,Body,34.1,Outside
Pygmy,Ireland,Body,35.4,Outside
Pygmy,Ireland,Body,33.8,Outside
Pygmy,Ireland,Body,33.7,Outside
GWTS,Ireland,Body,49.7,Edge
GWTS,Ireland,Body,48.5,Edge
GWTS,Ireland,Body,52.1,Edge
Pygmy,Ireland,Body,32,Edge
Pygmy,Ireland,Body,31.9,Edge
GWTS,Ireland,Body,48.7,Edge
GWTS,Ireland,Body,49,Edge
GWTS,Ireland,Body,46.4,Edge
GWTS,Ireland,Body,53.7,Edge
GWTS,Ireland,Body,49,Edge
GWTS,Ireland,Body,53.1,Edge
GWTS,Ireland,Body,46.4,Edge
GWTS,Ireland,Body,49,Edge
GWTS,Ireland,Body,47,Edge
GWTS,Ireland,Body,47.7,Edge
Pygmy,Ireland,Body,32.5,Outside
Pygmy,Ireland,Body,30,Outside
Pygmy,Ireland,Body,34.7,Outside
Pygmy,Ireland,Body,32.5,Outside
Pygmy,Ireland,Body,32.3,Outside
Pygmy,Ireland,Body,33.5,Outside
Pygmy,Ireland,Body,30.7,Outside
Pygmy,Ireland,Body,37.4,Outside
Pygmy,Ireland,Body,36.8,Outside
Pygmy,Ireland,Body,35.5,Outside
Pygmy,Ireland,Body,33,Edge
GWTS,Ireland,Body,43.2,Edge
GWTS,Ireland,Body,53.2,Edge
GWTS,Ireland,Body,47.1,Edge
Pygmy,Ireland,Body,34.9,Edge
Pygmy,Ireland,Body,37.6,Edge
Pygmy,Ireland,Body,35.8,Edge
Pygmy,Ireland,Body,33.6,Edge
Pygmy,Ireland,Body,35.7,Edge
GWTS,Ireland,Body,47.9,Inside
GWTS,Ireland,Body,46.7,Inside
GWTS,Ireland,Body,50.9,Inside
GWTS,Ireland,Body,53.7,Inside
GWTS,Ireland,Body,50.8,Inside
GWTS,Ireland,Body,50.4,Inside
GWTS,Ireland,Body,49,Inside
GWTS,Ireland,Body,52.9,Inside
GWTS,Ireland,Body,53.8,Inside
GWTS,Ireland,Body,55,Inside
Pygmy,Ireland,Body,31.1,Outside
GWTS,Ireland,Body,48.6,Edge
GWTS,Ireland,Body,54,Edge
GWTS,Ireland,Body,47.4,Edge
Pygmy,Ireland,Body,35.1,Outside
Pygmy,Ireland,Body,33.5,Outside
GWTS,Ireland,Body,34,Edge
GWTS,Ireland,Body,51.5,Edge
Pygmy,Ireland,Body,34.3,Outside
Pygmy,Ireland,Body,33,Edge
Pygmy,Ireland,Body,36,Edge
GWTS,Ireland,Body,45.7,Edge
GWTS,Ireland,Body,50.8,Inside
GWTS,Ireland,Body,48.4,Inside
GWTS,Ireland,Body,49.2,Inside
GWTS,Ireland,Body,47.4,Inside
GWTS,Ireland,Body,49,Inside
GWTS,Ireland,Body,50.3,Inside
GWTS,Ireland,Body,51.8,Inside
GWTS,Ireland,Body,47.4,Inside
GWTS,Ireland,Body,50,Inside
GWTS,Ireland,Body,52,Inside
Pygmy,Ireland,Body,38.2,Edge
Pygmy,Ireland,Body,34.4,Edge
GWTS,Ireland,Body,48.3,Edge
GWTS,Ireland,Body,54.5,Edge
Pygmy,Ireland,Body,39.4,Edge
Pygmy,Ireland,Body,36.3,Edge
Pygmy,Ireland,Body,36.1,Edge
Pygmy,Ireland,Body,39.2,Edge
GWTS,Ireland,Body,51.6,Edge
GWTS,Ireland,Body,52.1,Edge
Pygmy,Ireland,Body,37.1,Outside
Pygmy,Ireland,Body,39.3,Outside
Pygmy,Ireland,Body,37.5,Outside
Pygmy,Ireland,Body,34.7,Outside
Pygmy,Ireland,Body,34.6,Outside
Pygmy,Ireland,Body,37.4,Outside
GWTS,Ireland,Body,57,Inside
GWTS,Ireland,Body,52.4,Inside
GWTS,Ireland,Body,51,Inside
GWTS,Ireland,Body,46,Inside
GWTS,Ireland,Body,47.5,Inside
GWTS,Ireland,Body,43.5,Inside
GWTS,Ireland,Body,46.5,Inside
GWTS,Ireland,Body,42.5,Inside
GWTS,Ireland,Body,39,Inside
GWTS,Ireland,Body,47.5,Inside
Pygmy,Ireland,Body,36.5,Outside
Pygmy,Ireland,Body,31.7,Outside
Pygmy,Ireland,Body,36.5,Outside
Pygmy,Ireland,Body,33,Outside
Pygmy,Ireland,Body,34.5,Outside
Pygmy,Ireland,Body,22,Outside
Pygmy,Ireland,Body,25,Outside
Pygmy,Ireland,Body,27.6,Outside
GWTS,Ireland,Body,43,Edge
GWTS,Ireland,Body,46.2,Edge
Pygmy,Ireland,Body,33.7,Edge
GWTS,Ireland,Body,46.8,Edge
GWTS,Ireland,Body,51.3,Edge
Pygmy,Ireland,Body,32.3,Edge
GWTS,Ireland,Body,46,Edge
GWTS,Ireland,Body,48.3,Edge
GWTS,Ireland,Body,35.8,Edge
Pygmy,Ireland,Body,32,Edge
GWTS,Ireland,Body,46.1,Edge
GWTS,Ireland,Body,42.5,Edge
GWTS,Ireland,Body,46.2,Edge
Pygmy,Ireland,Body,30.6,Edge
Pygmy,Ireland,Body,31.8,Edge
Pygmy,Ireland,Body,36,Edge
Pygmy,Ireland,Body,34.7,Edge
Pygmy,Ireland,Body,33.3,Edge
Pygmy,Ireland,Body,32,Outside
Pygmy,Ireland,Body,35.5,Outside
Pygmy,Ireland,Body,35.7,Edge
Pygmy,Ireland,Body,38.3,Edge
Pygmy,Ireland,Body,34.3,Edge
GWTS,Ireland,Body,50.6,Edge
Pygmy,Ireland,Body,39.4,Edge
GWTS,Ireland,Body,53.2,Edge
GWTS,Ireland,Body,49.3,Edge
GWTS,Ireland,Body,51,Edge
GWTS,Ireland,Body,55,Edge
GWTS,Ireland,Body,56.5,Edge
GWTS,Ireland,Body,50.8,Edge
Pygmy,Ireland,Body,37,Edge
Pygmy,Ireland,Body,33.3,Edge
GWTS,Ireland,Body,46.5,Edge
GWTS,Ireland,Body,42.8,Edge
Pygmy,Ireland,Body,39.2,Edge
GWTS,Ireland,Body,52.7,Edge
GWTS,Ireland,Body,52.4,Edge
Pygmy,Ireland,Body,37.2,Edge
Pygmy,Ireland,Body,37.1,Edge
Pygmy,Ireland,Body,34.9,Outside
Pygmy,Ireland,Body,34,Outside
GWTS,Ireland,Foreleg,21.5,Inside
GWTS,Ireland,Foreleg,21,Inside
GWTS,Ireland,Foreleg,22.3,Inside
GWTS,Ireland,Foreleg,20.2,Inside
GWTS,Ireland,Foreleg,20.6,Inside
GWTS,Ireland,Foreleg,23.7,Inside
GWTS,Ireland,Foreleg,22.5,Inside
GWTS,Ireland,Foreleg,19.6,Inside
GWTS,Ireland,Foreleg,19.3,Inside
GWTS,Ireland,Foreleg,21.5,Inside
Pygmy,Ireland,Foreleg,16.1,Outside
Pygmy,Ireland,Foreleg,16.9,Outside
Pygmy,Ireland,Foreleg,17,Outside
Pygmy,Ireland,Foreleg,17,Outside
Pygmy,Ireland,Foreleg,15.6,Outside
Pygmy,Ireland,Foreleg,18.4,Outside
Pygmy,Ireland,Foreleg,16,Outside
Pygmy,Ireland,Foreleg,17,Outside
Pygmy,Ireland,Foreleg,14.5,Outside
Pygmy,Ireland,Foreleg,16.5,Outside
Pygmy,Ireland,Foreleg,18.8,Edge
GWTS,Ireland,Foreleg,27.6,Edge
GWTS,Ireland,Foreleg,26,Edge
Pygmy,Ireland,Foreleg,17.7,Edge
Pygmy,Ireland,Foreleg,16.6,Edge
GWTS,Ireland,Foreleg,26,Edge
GWTS,Ireland,Foreleg,25.2,Edge
Pygmy,Ireland,Foreleg,16.8,Edge
Pygmy,Ireland,Foreleg,18.1,Edge
Pygmy,Ireland,Foreleg,18.2,Edge
Pygmy,Ireland,Foreleg,16.5,Edge
Pygmy,Ireland,Foreleg,15.5,Edge
GWTS,Ireland,Foreleg,25.7,Edge
GWTS,Ireland,Foreleg,24.8,Edge
Pygmy,Ireland,Foreleg,16.5,Edge
Pygmy,Ireland,Foreleg,17.8,Edge
GWTS,Ireland,Foreleg,23.6,Edge
Pygmy,Ireland,Foreleg,18.2,Outside
Pygmy,Ireland,Foreleg,17.8,Outside
Pygmy,Ireland,Foreleg,18.1,Outside
GWTS,Ireland,Foreleg,23.7,Inside
GWTS,Ireland,Foreleg,24.5,Inside
GWTS,Ireland,Foreleg,23,Inside
GWTS,Ireland,Foreleg,23.4,Inside
GWTS,Ireland,Foreleg,26.6,Inside
GWTS,Ireland,Foreleg,28.4,Inside
GWTS,Ireland,Foreleg,26.4,Inside
GWTS,Ireland,Foreleg,25.8,Inside
GWTS,Ireland,Foreleg,25.7,Inside
GWTS,Ireland,Foreleg,24.6,Inside
GWTS,Ireland,Foreleg,24.5,Inside
GWTS,Ireland,Foreleg,25.2,Inside
GWTS,Ireland,Foreleg,26.6,Inside
GWTS,Ireland,Foreleg,24,Inside
GWTS,Ireland,Foreleg,24.8,Inside
Pygmy,Ireland,Foreleg,18.5,Outside
Pygmy,Ireland,Foreleg,17.1,Outside
Pygmy,Ireland,Foreleg,19.6,Outside
GWTS,Ireland,Foreleg,26.3,Edge
GWTS,Ireland,Foreleg,26.7,Edge
Pygmy,Ireland,Foreleg,17.3,Edge
GWTS,Ireland,Foreleg,24.9,Edge
GWTS,Ireland,Foreleg,22.3,Edge
GWTS,Ireland,Foreleg,27.1,Edge
GWTS,Ireland,Foreleg,25.4,Edge
Pygmy,Ireland,Foreleg,18.4,Edge
Pygmy,Ireland,Foreleg,19.4,Edge
Pygmy,Ireland,Foreleg,18.5,Edge
Pygmy,Ireland,Foreleg,18.5,Edge
GWTS,Ireland,Foreleg,23.2,Edge
GWTS,Ireland,Foreleg,23.1,Inside
GWTS,Ireland,Foreleg,24.1,Inside
GWTS,Ireland,Foreleg,21.7,Inside
GWTS,Ireland,Foreleg,24,Inside
GWTS,Ireland,Foreleg,22.3,Inside
GWTS,Ireland,Foreleg,25.5,Inside
GWTS,Ireland,Foreleg,26.4,Inside
GWTS,Ireland,Foreleg,26.9,Inside
Pygmy,Ireland,Foreleg,18.8,Outside
Pygmy,Ireland,Foreleg,17.4,Outside
Pygmy,Ireland,Foreleg,19.4,Outside
Pygmy,Ireland,Foreleg,18.7,Outside
GWTS,Ireland,Foreleg,21.7,Edge
GWTS,Ireland,Foreleg,24.1,Edge
GWTS,Ireland,Foreleg,22.7,Edge
Pygmy,Ireland,Foreleg,18,Edge
Pygmy,Ireland,Foreleg,16.7,Edge
GWTS,Ireland,Foreleg,23.9,Edge
GWTS,Ireland,Foreleg,24.1,Edge
GWTS,Ireland,Foreleg,22.5,Edge
GWTS,Ireland,Foreleg,26,Edge
GWTS,Ireland,Foreleg,26.5,Edge
GWTS,Ireland,Foreleg,22.4,Edge
GWTS,Ireland,Foreleg,24.9,Edge
GWTS,Ireland,Foreleg,24,Edge
GWTS,Ireland,Foreleg,22.4,Edge
GWTS,Ireland,Foreleg,25.2,Edge
Pygmy,Ireland,Foreleg,17,Outside
Pygmy,Ireland,Foreleg,16.8,Outside
Pygmy,Ireland,Foreleg,17,Outside
Pygmy,Ireland,Foreleg,18.4,Outside
Pygmy,Ireland,Foreleg,16.2,Outside
Pygmy,Ireland,Foreleg,18.4,Outside
Pygmy,Ireland,Foreleg,16.7,Outside
Pygmy,Ireland,Foreleg,16.7,Outside
Pygmy,Ireland,Foreleg,18.5,Outside
Pygmy,Ireland,Foreleg,16.5,Outside
Pygmy,Ireland,Foreleg,17,Edge
GWTS,Ireland,Foreleg,21.9,Edge
GWTS,Ireland,Foreleg,25.9,Edge
GWTS,Ireland,Foreleg,25.7,Edge
Pygmy,Ireland,Foreleg,16.8,Edge
Pygmy,Ireland,Foreleg,16.7,Edge
Pygmy,Ireland,Foreleg,16,Edge
Pygmy,Ireland,Foreleg,16.7,Edge
Pygmy,Ireland,Foreleg,16.4,Edge
GWTS,Ireland,Foreleg,22.3,Inside
GWTS,Ireland,Foreleg,24.8,Inside
GWTS,Ireland,Foreleg,25.3,Inside
GWTS,Ireland,Foreleg,24.5,Inside
GWTS,Ireland,Foreleg,26.8,Inside
GWTS,Ireland,Foreleg,24,Inside
GWTS,Ireland,Foreleg,24.8,Inside
GWTS,Ireland,Foreleg,20.7,Inside
GWTS,Ireland,Foreleg,24.5,Inside
GWTS,Ireland,Foreleg,25.3,Inside
Pygmy,Ireland,Foreleg,18.8,Outside
GWTS,Ireland,Foreleg,25.4,Edge
GWTS,Ireland,Foreleg,25,Edge
GWTS,Ireland,Foreleg,22.6,Edge
Pygmy,Ireland,Foreleg,18.7,Outside
Pygmy,Ireland,Foreleg,18.4,Outside
GWTS,Ireland,Foreleg,22.5,Edge
GWTS,Ireland,Foreleg,25.8,Edge
Pygmy,Ireland,Foreleg,19.8,Outside
Pygmy,Ireland,Foreleg,19.3,Edge
Pygmy,Ireland,Foreleg,16.7,Edge
GWTS,Ireland,Foreleg,21.3,Edge
GWTS,Ireland,Foreleg,22.9,Inside
GWTS,Ireland,Foreleg,25.6,Inside
GWTS,Ireland,Foreleg,23.2,Inside
GWTS,Ireland,Foreleg,25,Inside
GWTS,Ireland,Foreleg,22.9,Inside
GWTS,Ireland,Foreleg,22.2,Inside
GWTS,Ireland,Foreleg,23.4,Inside
GWTS,Ireland,Foreleg,22.1,Inside
GWTS,Ireland,Foreleg,21.6,Inside
GWTS,Ireland,Foreleg,24.5,Inside
Pygmy,Ireland,Foreleg,19.7,Edge
Pygmy,Ireland,Foreleg,19.1,Edge
GWTS,Ireland,Foreleg,25.6,Edge
GWTS,Ireland,Foreleg,25.9,Edge
Pygmy,Ireland,Foreleg,19.7,Edge
Pygmy,Ireland,Foreleg,19.8,Edge
Pygmy,Ireland,Foreleg,15.8,Edge
Pygmy,Ireland,Foreleg,19.5,Edge
GWTS,Ireland,Foreleg,23.5,Edge
GWTS,Ireland,Foreleg,25.2,Edge
Pygmy,Ireland,Foreleg,17.4,Outside
Pygmy,Ireland,Foreleg,19.3,Outside
Pygmy,Ireland,Foreleg,19.4,Outside
Pygmy,Ireland,Foreleg,19.3,Outside
Pygmy,Ireland,Foreleg,16.7,Outside
Pygmy,Ireland,Foreleg,19.5,Outside
GWTS,Ireland,Foreleg,18.5,Inside
GWTS,Ireland,Foreleg,19.5,Inside
GWTS,Ireland,Foreleg,19,Inside
GWTS,Ireland,Foreleg,19.5,Inside
GWTS,Ireland,Foreleg,21.8,Inside
GWTS,Ireland,Foreleg,20.5,Inside
GWTS,Ireland,Foreleg,16.2,Inside
GWTS,Ireland,Foreleg,21,Inside
GWTS,Ireland,Foreleg,20.5,Inside
GWTS,Ireland,Foreleg,22,Inside
Pygmy,Ireland,Foreleg,16,Outside
Pygmy,Ireland,Foreleg,15,Outside
Pygmy,Ireland,Foreleg,15.8,Outside
Pygmy,Ireland,Foreleg,13.5,Outside
Pygmy,Ireland,Foreleg,16.7,Outside
Pygmy,Ireland,Foreleg,13.4,Outside
Pygmy,Ireland,Foreleg,15.8,Outside
Pygmy,Ireland,Foreleg,14.6,Outside
GWTS,Ireland,Foreleg,21.5,Edge
GWTS,Ireland,Foreleg,24,Edge
Pygmy,Ireland,Foreleg,16.3,Edge
GWTS,Ireland,Foreleg,22.3,Edge
GWTS,Ireland,Foreleg,23,Edge
Pygmy,Ireland,Foreleg,15.5,Edge
GWTS,Ireland,Foreleg,20.7,Edge
GWTS,Ireland,Foreleg,21.2,Edge
GWTS,Ireland,Foreleg,18.5,Edge
Pygmy,Ireland,Foreleg,14,Edge
GWTS,Ireland,Foreleg,22.8,Edge
GWTS,Ireland,Foreleg,21.8,Edge
GWTS,Ireland,Foreleg,20.8,Edge
Pygmy,Ireland,Foreleg,15.5,Edge
Pygmy,Ireland,Foreleg,15.3,Edge
Pygmy,Ireland,Foreleg,16,Edge
Pygmy,Ireland,Foreleg,17,Edge
Pygmy,Ireland,Foreleg,16.5,Edge
Pygmy,Ireland,Foreleg,15.5,Outside
Pygmy,Ireland,Foreleg,17.3,Outside
Pygmy,Ireland,Foreleg,18.3,Edge
Pygmy,Ireland,Foreleg,18.6,Edge
Pygmy,Ireland,Foreleg,19,Edge
GWTS,Ireland,Foreleg,26.2,Edge
Pygmy,Ireland,Foreleg,19,Edge
GWTS,Ireland,Foreleg,25.2,Edge
GWTS,Ireland,Foreleg,25.8,Edge
GWTS,Ireland,Foreleg,25.5,Edge
GWTS,Ireland,Foreleg,24.3,Edge
GWTS,Ireland,Foreleg,25,Edge
GWTS,Ireland,Foreleg,25.7,Edge
Pygmy,Ireland,Foreleg,19.6,Edge
Pygmy,Ireland,Foreleg,19.7,Edge
GWTS,Ireland,Foreleg,23.3,Edge
GWTS,Ireland,Foreleg,22.7,Edge
Pygmy,Ireland,Foreleg,18.4,Edge
GWTS,Ireland,Foreleg,25.9,Edge
GWTS,Ireland,Foreleg,26.5,Edge
Pygmy,Ireland,Foreleg,19.5,Edge
Pygmy,Ireland,Foreleg,19.5,Edge
Pygmy,Ireland,Foreleg,18.4,Outside
Pygmy,Ireland,Foreleg,19.3,Outside
GWTS,Ireland,Rearleg,27.5,Inside
GWTS,Ireland,Rearleg,27.5,Inside
GWTS,Ireland,Rearleg,30.5,Inside
GWTS,Ireland,Rearleg,24.7,Inside
GWTS,Ireland,Rearleg,26.8,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,28.1,Inside
GWTS,Ireland,Rearleg,24.5,Inside
GWTS,Ireland,Rearleg,22.8,Inside
GWTS,Ireland,Rearleg,28.6,Inside
Pygmy,Ireland,Rearleg,24.4,Outside
Pygmy,Ireland,Rearleg,22.9,Outside
Pygmy,Ireland,Rearleg,23,Outside
Pygmy,Ireland,Rearleg,22.5,Outside
Pygmy,Ireland,Rearleg,23.5,Outside
Pygmy,Ireland,Rearleg,23.5,Outside
Pygmy,Ireland,Rearleg,23.4,Outside
Pygmy,Ireland,Rearleg,23,Outside
Pygmy,Ireland,Rearleg,23.5,Outside
Pygmy,Ireland,Rearleg,23.5,Outside
Pygmy,Ireland,Rearleg,23.9,Edge
GWTS,Ireland,Rearleg,29.8,Edge
GWTS,Ireland,Rearleg,29,Edge
Pygmy,Ireland,Rearleg,23.8,Edge
Pygmy,Ireland,Rearleg,23.8,Edge
GWTS,Ireland,Rearleg,30.3,Edge
GWTS,Ireland,Rearleg,28.2,Edge
Pygmy,Ireland,Rearleg,24.2,Edge
Pygmy,Ireland,Rearleg,24.3,Edge
Pygmy,Ireland,Rearleg,24.1,Edge
Pygmy,Ireland,Rearleg,23.5,Edge
Pygmy,Ireland,Rearleg,22.3,Edge
GWTS,Ireland,Rearleg,29.7,Edge
GWTS,Ireland,Rearleg,28.6,Edge
Pygmy,Ireland,Rearleg,24,Edge
Pygmy,Ireland,Rearleg,23.8,Edge
GWTS,Ireland,Rearleg,26.9,Edge
Pygmy,Ireland,Rearleg,23.3,Outside
Pygmy,Ireland,Rearleg,23.3,Outside
Pygmy,Ireland,Rearleg,23,Outside
GWTS,Ireland,Rearleg,28.2,Inside
GWTS,Ireland,Rearleg,28.6,Inside
GWTS,Ireland,Rearleg,29.2,Inside
GWTS,Ireland,Rearleg,31,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,30.8,Inside
GWTS,Ireland,Rearleg,30.9,Inside
GWTS,Ireland,Rearleg,29.3,Inside
GWTS,Ireland,Rearleg,30.5,Inside
GWTS,Ireland,Rearleg,29.5,Inside
GWTS,Ireland,Rearleg,29.5,Inside
GWTS,Ireland,Rearleg,28.9,Inside
GWTS,Ireland,Rearleg,29.6,Inside
GWTS,Ireland,Rearleg,28.2,Inside
GWTS,Ireland,Rearleg,29.4,Inside
Pygmy,Ireland,Rearleg,24.4,Outside
Pygmy,Ireland,Rearleg,23.5,Outside
Pygmy,Ireland,Rearleg,23.3,Outside
GWTS,Ireland,Rearleg,30.8,Edge
GWTS,Ireland,Rearleg,28.5,Edge
Pygmy,Ireland,Rearleg,24,Edge
GWTS,Ireland,Rearleg,28.6,Edge
GWTS,Ireland,Rearleg,27.4,Edge
GWTS,Ireland,Rearleg,29.9,Edge
GWTS,Ireland,Rearleg,28.5,Edge
Pygmy,Ireland,Rearleg,23.3,Edge
Pygmy,Ireland,Rearleg,24.3,Edge
Pygmy,Ireland,Rearleg,22.6,Edge
Pygmy,Ireland,Rearleg,24,Edge
GWTS,Ireland,Rearleg,28.6,Edge
GWTS,Ireland,Rearleg,28.4,Inside
GWTS,Ireland,Rearleg,28.3,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,26.8,Inside
GWTS,Ireland,Rearleg,28.2,Inside
GWTS,Ireland,Rearleg,28.6,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,29.3,Inside
Pygmy,Ireland,Rearleg,21.9,Outside
Pygmy,Ireland,Rearleg,23.7,Outside
Pygmy,Ireland,Rearleg,22.3,Outside
Pygmy,Ireland,Rearleg,23.1,Outside
GWTS,Ireland,Rearleg,29.4,Edge
GWTS,Ireland,Rearleg,28.4,Edge
GWTS,Ireland,Rearleg,29.8,Edge
Pygmy,Ireland,Rearleg,24.2,Edge
Pygmy,Ireland,Rearleg,23,Edge
GWTS,Ireland,Rearleg,25,Edge
GWTS,Ireland,Rearleg,28.5,Edge
GWTS,Ireland,Rearleg,26,Edge
GWTS,Ireland,Rearleg,28.5,Edge
GWTS,Ireland,Rearleg,28.9,Edge
GWTS,Ireland,Rearleg,27.9,Edge
GWTS,Ireland,Rearleg,28.4,Edge
GWTS,Ireland,Rearleg,27.1,Edge
GWTS,Ireland,Rearleg,25.1,Edge
GWTS,Ireland,Rearleg,25.5,Edge
Pygmy,Ireland,Rearleg,24.5,Outside
Pygmy,Ireland,Rearleg,22.6,Outside
Pygmy,Ireland,Rearleg,26.1,Outside
Pygmy,Ireland,Rearleg,23.2,Outside
Pygmy,Ireland,Rearleg,24,Outside
Pygmy,Ireland,Rearleg,24.2,Outside
Pygmy,Ireland,Rearleg,23.2,Outside
Pygmy,Ireland,Rearleg,23.4,Outside
Pygmy,Ireland,Rearleg,23.8,Outside
Pygmy,Ireland,Rearleg,23.1,Outside
Pygmy,Ireland,Rearleg,24.1,Edge
GWTS,Ireland,Rearleg,26,Edge
GWTS,Ireland,Rearleg,28.1,Edge
GWTS,Ireland,Rearleg,24.6,Edge
Pygmy,Ireland,Rearleg,24,Edge
Pygmy,Ireland,Rearleg,23.4,Edge
Pygmy,Ireland,Rearleg,25,Edge
Pygmy,Ireland,Rearleg,23.1,Edge
Pygmy,Ireland,Rearleg,23.7,Edge
GWTS,Ireland,Rearleg,28.4,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,27,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,27.5,Inside
GWTS,Ireland,Rearleg,28.1,Inside
GWTS,Ireland,Rearleg,29,Inside
GWTS,Ireland,Rearleg,29.3,Inside
GWTS,Ireland,Rearleg,28.5,Inside
Pygmy,Ireland,Rearleg,24.5,Outside
GWTS,Ireland,Rearleg,29.8,Edge
GWTS,Ireland,Rearleg,28.8,Edge
GWTS,Ireland,Rearleg,27.2,Edge
Pygmy,Ireland,Rearleg,23.4,Outside
Pygmy,Ireland,Rearleg,22.8,Outside
GWTS,Ireland,Rearleg,28.7,Edge
GWTS,Ireland,Rearleg,28.9,Edge
Pygmy,Ireland,Rearleg,23.5,Outside
Pygmy,Ireland,Rearleg,23.4,Edge
Pygmy,Ireland,Rearleg,24.4,Edge
GWTS,Ireland,Rearleg,28.3,Edge
GWTS,Ireland,Rearleg,27.5,Inside
GWTS,Ireland,Rearleg,26.2,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,29.4,Inside
GWTS,Ireland,Rearleg,27.5,Inside
GWTS,Ireland,Rearleg,27.7,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,26.3,Inside
GWTS,Ireland,Rearleg,28.5,Inside
GWTS,Ireland,Rearleg,29.6,Inside
Pygmy,Ireland,Rearleg,23.7,Edge
Pygmy,Ireland,Rearleg,22.4,Edge
GWTS,Ireland,Rearleg,28.2,Edge
GWTS,Ireland,Rearleg,28.3,Edge
Pygmy,Ireland,Rearleg,24.7,Edge
Pygmy,Ireland,Rearleg,24.5,Edge
Pygmy,Ireland,Rearleg,23.2,Edge
Pygmy,Ireland,Rearleg,24.7,Edge
GWTS,Ireland,Rearleg,29.1,Edge
GWTS,Ireland,Rearleg,29.5,Edge
Pygmy,Ireland,Rearleg,25.2,Outside
Pygmy,Ireland,Rearleg,25.2,Outside
Pygmy,Ireland,Rearleg,24.6,Outside
Pygmy,Ireland,Rearleg,22.4,Outside
Pygmy,Ireland,Rearleg,22.5,Outside
Pygmy,Ireland,Rearleg,23.5,Outside
GWTS,Ireland,Rearleg,22.5,Inside
GWTS,Ireland,Rearleg,23,Inside
GWTS,Ireland,Rearleg,26.5,Inside
GWTS,Ireland,Rearleg,24.5,Inside
GWTS,Ireland,Rearleg,26.5,Inside
GWTS,Ireland,Rearleg,25,Inside
GWTS,Ireland,Rearleg,24.5,Inside
GWTS,Ireland,Rearleg,26,Inside
GWTS,Ireland,Rearleg,23.5,Inside
GWTS,Ireland,Rearleg,27,Inside
Pygmy,Ireland,Rearleg,21.5,Outside
Pygmy,Ireland,Rearleg,22.5,Outside
Pygmy,Ireland,Rearleg,19,Outside
Pygmy,Ireland,Rearleg,19.5,Outside
Pygmy,Ireland,Rearleg,22,Outside
Pygmy,Ireland,Rearleg,21.6,Outside
Pygmy,Ireland,Rearleg,22,Outside
Pygmy,Ireland,Rearleg,21.5,Outside
GWTS,Ireland,Rearleg,27,Edge
GWTS,Ireland,Rearleg,27,Edge
Pygmy,Ireland,Rearleg,21.4,Edge
GWTS,Ireland,Rearleg,26.6,Edge
GWTS,Ireland,Rearleg,29.6,Edge
Pygmy,Ireland,Rearleg,22,Edge
GWTS,Ireland,Rearleg,28.4,Edge
GWTS,Ireland,Rearleg,27,Edge
GWTS,Ireland,Rearleg,26.5,Edge
Pygmy,Ireland,Rearleg,2.2,Edge
GWTS,Ireland,Rearleg,28.5,Edge
GWTS,Ireland,Rearleg,26.3,Edge
GWTS,Ireland,Rearleg,26.2,Edge
Pygmy,Ireland,Rearleg,21.3,Edge
Pygmy,Ireland,Rearleg,24,Edge
Pygmy,Ireland,Rearleg,22,Edge
Pygmy,Ireland,Rearleg,22.9,Edge
Pygmy,Ireland,Rearleg,22.4,Edge
Pygmy,Ireland,Rearleg,22.6,Outside
Pygmy,Ireland,Rearleg,23.4,Outside
Pygmy,Ireland,Rearleg,24.5,Edge
Pygmy,Ireland,Rearleg,25.1,Edge
Pygmy,Ireland,Rearleg,25.4,Edge
GWTS,Ireland,Rearleg,28.5,Edge
Pygmy,Ireland,Rearleg,24,Edge
GWTS,Ireland,Rearleg,29.3,Edge
GWTS,Ireland,Rearleg,28.4,Edge
GWTS,Ireland,Rearleg,29.4,Edge
GWTS,Ireland,Rearleg,27.3,Edge
GWTS,Ireland,Rearleg,27,Edge
GWTS,Ireland,Rearleg,29.4,Edge
Pygmy,Ireland,Rearleg,24.1,Edge
Pygmy,Ireland,Rearleg,22.7,Edge
GWTS,Ireland,Rearleg,27.3,Edge
GWTS,Ireland,Rearleg,27.3,Edge
Pygmy,Ireland,Rearleg,24.6,Edge
GWTS,Ireland,Rearleg,29.5,Edge
GWTS,Ireland,Rearleg,29.7,Edge
Pygmy,Ireland,Rearleg,24.8,Edge
Pygmy,Ireland,Rearleg,23.5,Edge
Pygmy,Ireland,Rearleg,23.8,Outside
Pygmy,Ireland,Rearleg,23.8,Outside
