Shrew_ID,Species,Site,Transect,Zone,Season,Date,Time,Sex,Weight_(g),Total_Length,Head_Length,Body_Length,Front_Limb_Length,Rear_Limb_Length
FR01,Pygmy,FR01,France,France,Summer,10/10/2017,16:00,,3.6,91.5,20.8,35.9,16.5,25.1
FR02,GWTS,FR01,France,France,Summer,10/10/2017,16:00,,9.9,115.7,24.5,49.6,24.3,26.3
FR03,GWTS,FR01,France,France,Summer,10/10/2017,16:00,,9.8,113.2,26.1,51.5,24.8,28.6
FR04,GWTS,FR02,France,France,Summer,10/10/2017,16:45,,8.3,109.3,25.5,47.6,20.5,27.3
FR05,GWTS,FR02,France,France,Summer,10/10/2017,16:45,,8.2,101.3,24.3,47.5,22.8,27.2
FR06,GWTS,FR02,France,France,Summer,10/10/2017,17:00,,8.5,106,24.7,48.3,24.5,27.1
FR07,Pygmy,FR01,France,France,Summer,10/10/2017,18:00,,3.8,94,21,37.1,17.5,24.3
FR08,GWTS,FR01,France,France,Summer,10/10/2017,18:00,,8.4,106.8,24.8,49,22.2,25.7
FR09,GWTS,FR01,France,France,Summer,10/10/2017,18:00,,8.8,106.6,24.5,52,24,26.5
FR10,GWTS,FR01,France,France,Summer,11/10/2017,11:00,,9.3,112.8,26.6,51.7,24.8,28.5
FR11,GWTS,FR01,France,France,Summer,11/10/2017,11:00,,9.4,119,24,49.6,23.5,27.2
FR12,Pygmy,FR01C,France,France,Summer,11/10/2017,12:30,,3.8,92.5,21.1,36.8,16.8,24.2
FR13,GWTS,FR01C,France,France,Summer,11/10/2017,12:30,,8.2,105.6,24.8,49.5,24,27
FR14,Pygmy,FR04,France,France,Summer,12/10/2017,12:00,,3.8,96.4,20.3,37.2,18.5,25.5
FR15,Pygmy,FR04,France,France,Summer,12/10/2017,13:45,,3.4,93.5,20.2,34.7,18.6,24
FR16,Pygmy,FR04,France,France,Summer,12/10/2017,17:00,,4.1,93.6,21.3,37,18,23.2
FR17,Pygmy,FR04,France,France,Summer,12/10/2017,19:00,,3.6,87,20.8,37.7,18.5,22.8
FR18,Pygmy,FR05,France,France,Summer,13/10/2017,11:30,,3.7,95.6,20,38.4,18.2,24.3
FR19,Pygmy,FR05,France,France,Summer,13/10/2017,11:30,,4,98.4,21.7,38.5,19,25.8
FR20,GWTS,FR05,France,France,Summer,13/10/2017,11:30,,8.1,105.3,25.6,51.2,23.1,26.5
FR21,GWTS,FR05,France,France,Summer,13/10/2017,11:30,,9,111.4,25,51.2,25,28
FR22,Pygmy,FR06,France,France,Summer,13/10/2017,12:45,,4.1,95.8,21.1,40.8,19.1,26.7
FR23,GWTS,FR05,France,France,Summer,13/10/2017,14:40,,9.2,105.5,24.8,50.5,23.8,26.9
FR24,GWTS,FR05,France,France,Summer,13/10/2017,14:40,,8.3,108.5,24.7,49.2,20.8,26.3
FR25,GWTS,FR05,France,France,Summer,13/10/2017,14:40,,10.5,116.6,25.9,54.9,20.5,29
FR26,Pygmy,FR06,France,France,Summer,13/10/2017,15:00,,3.8,92.7,21.8,38.5,17.4,24.4
FR27,Pygmy,FR06,France,France,Summer,13/10/2017,15:00,,4,93,21.2,37.8,17,24
FR28,GWTS,FR06,France,France,Summer,13/10/2017,17:45,,7,110,24.7,48,24.9,26.5
FR29,Pygmy,FR05,France,France,Summer,13/10/2017,19:30,,3.4,92.5,21,36,16.7,22.9
FR30,Pygmy,FR06,France,France,Summer,13/10/2017,19:45,,3.4,88.3,20.7,32,18,23.5
FR31,GWTS,FR06,France,France,Summer,13/10/2017,19:45,,8.9,106.7,26.3,52.9,20,26.2
FR32,GWTS,FR06,France,France,Summer,13/10/2017,19:45,,8.5,106.5,25.2,52.5,23.7,27
FR33,Pygmy,FR07,France,France,Summer,15/10/2017,11:30,,3.6,91.5,20,33.1,17.5,23.2
FR34,GWTS,FR07,France,France,Summer,15/10/2017,11:30,,9,109.7,25.5,50.8,24.3,27.8
FR35,GWTS,FR07,France,France,Summer,15/10/2017,11:30,,9.3,110.1,27,54.5,22.3,27
FR36,Pygmy,FR07,France,France,Summer,15/10/2017,14:00,,3.5,87.1,20.9,35.3,18.5,23.4
FR37,Pygmy,FR08,France,France,Summer,15/10/2017,14:30,,3.9,89,20.7,36.2,17.7,23.7
FR38,Pygmy,FR09,France,France,Summer,16/10/2017,11:30,,4,93.8,21.1,38.8,19,24.8
FR39,Pygmy,FR10,France,France,Summer,16/10/2017,15:50,,3.6,94.6,21.5,36.8,18.4,24.8
FR40,Pygmy,FR01,France,France,Summer,17/10/2017,11:25,,3.1,84.8,21.4,34.1,16.5,24.3
FR41,Pygmy,FR06,France,France,Winter,23/03/2018,15:00,F,4.4,94.6,20.5,37.7,19.5,23.7
FR42,GWTS,FR06,France,France,Winter,23/03/2018,15:00,M,9.1,107.4,24.3,46.4,23,27.3
FR43,GWTS,FR06,France,France,Winter,23/03/2018,15:15,M,11.3,110.9,24.6,45.6,21.9,29.2
FR44,GWTS,FR06,France,France,Winter,23/03/2018,15:15,F,11.2,110.5,24.3,45.2,21.3,26.5
FR45,GWTS,FR08,France,France,Winter,23/03/2018,16:00,M,11,107.8,25.9,48.2,20.7,28.3
FR46,GWTS,FR08,France,France,Winter,23/03/2018,16:00,F,9.6,113.6,23.5,50.8,25.2,27.7
FR47,GWTS,FR08,France,France,Winter,23/03/2018,16:00,M,9.6,113.4,22.7,46.8,21.1,25.7
FR48,Pygmy,FR08,France,France,Winter,23/03/2018,16:00,F,4.5,95.2,20.5,37,19.4,24.4
FR49,Pygmy,FR08,France,France,Winter,23/03/2018,16:00,M,5.1,96.2,20.4,34.5,20.6,26
FR50,GWTS,FR08,France,France,Winter,23/03/2018,16:00,F,11.1,119.9,25,46.1,24.3,26.7
FR51,GWTS,FR08,France,France,Winter,23/03/2018,16:00,M,10,117.6,25.5,48.6,23.6,28.3
FR52,GWTS,FR06,France,France,Winter,23/03/2018,17:15,F,11.7,120.1,25.5,51.2,24,27.7
FR53,Pygmy,FR06,France,France,Winter,23/03/2018,19:00,M,5,103.8,21,38.3,19.8,25.3
FR54,Pygmy,FR06,France,France,Winter,23/03/2018,19:00,M,5.2,100.6,20.5,40.8,20.8,24
FR55,Pygmy,FR08,France,France,Winter,23/03/2018,19:30,F,4.6,102.2,20.6,34.7,21,25.1
FR56,Pygmy,FR13,France,France,Winter,24/03/2018,11:00,F,4.3,102.5,19.7,36.1,19.8,25
FR57,Pygmy,FR13,France,France,Winter,24/03/2018,11:00,M,5.4,96.7,21,34.7,19.5,25.6
FR58,Pygmy,FR13,France,France,Winter,24/03/2018,11:00,F,4,98.5,20.4,36.2,18.4,24.9
FR59,Pygmy,FR13B,France,France,Winter,24/03/2018,12:20,M,5.8,100.2,21.2,38.4,19.6,24.9
FR60,GWTS,FR13B,France,France,Winter,24/03/2018,12:20,F,10.2,110.2,25.2,44.5,24.7,27.3
FR61,Pygmy,FR13,France,France,Winter,24/03/2018,12:30,M,5.2,101.6,20.7,40.1,20.2,25.4
FR62,GWTS,FR13,France,France,Winter,24/03/2018,12:30,M,11.4,118.4,26.2,44.4,22.3,27.2
FR63,Pygmy,FR13,France,France,Winter,24/03/2018,14:45,F,4.1,99.5,20.1,35.3,20.6,24.7
FR64,Pygmy,FR13,France,France,Winter,24/03/2018,14:45,M,5,101.1,21.2,38.2,20,25
FR65,GWTS,FR13,France,France,Winter,24/03/2018,14:45,M,11.4,118.5,22.7,51.9,25.8,28.6
FR66,GWTS,FR13,France,France,Winter,24/03/2018,14:45,F,9.6,112.4,25.4,49,25.3,27.1
FR67,Pygmy,FR01,France,France,Winter,24/03/2018,16:45,M,6,100.3,19.5,40.2,20.1,23.5
FR68,GWTS,FR01,France,France,Winter,24/03/2018,16:45,F,12.5,116,25.2,51.3,25.2,27.6
FR69,GWTS,FR01,France,France,Winter,24/03/2018,16:45,M,10.4,108.6,21.3,47.4,24.7,27.2
FR70,Pygmy,FR01,France,France,Winter,24/03/2018,18:45,F,4.4,102.8,20.9,36.6,19.7,24.1
FR71,Pygmy,FR01,France,France,Winter,24/03/2018,18:45,F,4.8,102.5,19.8,39.8,21,25.2
FR72,Pygmy,FR01,France,France,Winter,24/03/2018,18:45,M,5,96.9,21.6,35.7,20.1,25.7
FR73,Pygmy,FR01,France,France,Winter,24/03/2018,19:00,M,5.4,102.9,19.3,40.1,21.1,25.1
FR74,Pygmy,FR01,France,France,Winter,24/03/2018,19:00,M,5.6,106,20.1,39.4,21.4,26.7
FR75,Pygmy,FR01,France,France,Winter,24/03/2018,19:00,M,5.9,107.3,20.7,44.4,19.7,25.1
FR76,GWTS,FR01,France,France,Winter,24/03/2018,19:00,M,10.5,119.3,24,48.2,26,28.4
FR77,GWTS,FR01,France,France,Winter,24/03/2018,19:00,M,11.4,112.7,25.8,47.3,26.1,28.4
FR78,GWTS,FR02,France,France,Winter,26/03/2018,11:30,M,10.6,116.8,25.6,48.4,21.8,28.2
FR79,Pygmy,FR02,France,France,Winter,26/03/2018,13:30,M,4.9,98.3,21.4,35.7,18.9,24.5
FR80,GWTS,FR02,France,France,Winter,26/03/2018,14:00,M,11.9,118.6,26,47.4,25.2,28.3
FR81,GWTS,FR15,France,France,Winter,27/03/2018,15:00,F,11.9,108.3,22.4,50.7,24,26.6
FR82,GWTS,FR15,France,France,Winter,27/03/2018,15:00,M,10.5,116.8,21.3,50.3,24.4,27
E11,Pygmy,IE04,East,Outside,Summer,14/09/2017,Unknown,11:45,3.2,91.3,19.4,34.6,16.1,24.4
E12,Pygmy,IE04,East,Outside,Summer,14/09/2017,Unknown,12:45,3.4,91.2,21.5,32.2,16.9,22.9
E13,Pygmy,IE04,East,Outside,Summer,14/09/2017,Unknown,12:45,2.9,84.9,19,30.8,17,23
E14,Pygmy,IE04,East,Outside,Summer,14/09/2017,Unknown,14:05,3.4,90.4,20.2,33.9,17,22.5
E38,Pygmy,IE04,East,Outside,Winter,16/02/2018,Unknown,,3,90.2,18.7,34.8,18.2,23.3
E39,Pygmy,IE04,East,Outside,Winter,16/02/2018,Unknown,,2.9,92.6,20.1,35,17.8,23.3
S01,Pygmy,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,3,87.6,20.7,31.9,16.7,23
S02,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,12,112.9,24.8,48.7,23.9,25
S03,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,11,121.5,25.5,49,24.1,28.5
S04,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,9.7,114.1,25,46.4,22.5,26
S05,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,11.3,120,25.7,53.7,26,28.5
S06,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,10,115.5,26.1,49,26.5,28.9
S07,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,10.3,117.2,28.4,53.1,22.4,27.9
S08,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,10.1,114,25.6,46.4,24.9,28.4
S09,GWTS,IE07,South,Edge,Summer,19/09/2017,Unknown,15:00,9.2,115.5,26.6,49,24,27.1
S10,GWTS,IE08,South,Edge,Summer,19/09/2017,Unknown,15:30,9.1,111,25.1,47,22.4,25.1
S11,GWTS,IE08,South,Edge,Summer,19/09/2017,Unknown,15:30,10.5,115.8,25.7,47.7,25.2,25.5
S12,Pygmy,IE09,South,Outside,Summer,20/09/2017,Unknown,12:00,3.3,86.8,18.4,32.5,17,24.5
S13,Pygmy,IE09B,South,Outside,Summer,20/09/2017,Unknown,14:15,3.2,82.5,18.8,30,16.8,22.6
S14,Pygmy,IE09B,South,Outside,Summer,20/09/2017,Unknown,14:30,3.4,91,20,34.7,17,26.1
S15,Pygmy,IE09B,South,Outside,Summer,20/09/2017,Unknown,17:20,3.1,87.6,20.1,32.5,18.4,23.2
S16,Pygmy,IE09B,South,Outside,Summer,21/09/2017,Unknown,11:30,3.4,90.7,20.3,32.3,16.2,24
S17,Pygmy,IE09B,South,Outside,Summer,21/09/2017,Unknown,11:30,3.2,84.3,19.8,33.5,18.4,24.2
S18,Pygmy,IE09B,South,Outside,Summer,21/09/2017,Unknown,14:00,3,87.3,18.6,30.7,16.7,23.2
S22,Pygmy,IE13,South,Edge,Summer,27/09/2017,Unknown,14:00,3.4,89.1,19.6,33,17,24.1
S23,GWTS,IE13,South,Edge,Summer,27/09/2017,Unknown,14:00,8,109.8,26.5,43.2,21.9,26
S24,GWTS,IE13,South,Edge,Summer,27/09/2017,Unknown,14:00,13.8,124,26.1,53.2,25.9,28.1
S25,GWTS,IE13,South,Edge,Summer,27/09/2017,Unknown,14:00,11,115.9,25.5,47.1,25.7,24.6
S26,Pygmy,IE13,South,Edge,Summer,27/09/2017,Unknown,17:00,3.5,91.3,21.4,34.9,16.8,24
S27,Pygmy,IE13,South,Edge,Summer,28/09/2017,Unknown,12:00,3.5,89.3,19.7,37.6,16.7,23.4
S28,Pygmy,IE13,South,Edge,Summer,28/09/2017,Unknown,14:15,3.5,93.4,21.9,35.8,16,25
S29,Pygmy,IE13,South,Edge,Summer,28/09/2017,Unknown,15:45,3.7,89.2,19.3,33.6,16.7,23.1
S42,GWTS,IE13,South,Edge,Winter,27/02/2018,M,16:20,9.9,120.8,23.4,48.6,25.4,29.8
S43,GWTS,IE13B,South,Edge,Winter,14/03/2018,F,14:00,14.1,121.2,26,54,25,28.8
S44,GWTS,IE13B,South,Edge,Winter,14/03/2018,M,17:00,11.6,115.7,24.3,47.4,22.6,27.2
S50,Pygmy,IE13B,South,Edge,Winter,15/03/2018,F,17:45,3.2,98.6,20.4,33,19.3,23.4
S51,Pygmy,IE13B,South,Edge,Winter,15/03/2018,M,17:45,3.9,93.9,18.7,36,16.7,24.4
S52,GWTS,IE13B,South,Edge,Winter,15/03/2018,F,17:45,10.2,116.7,25.1,45.7,21.3,28.3
S63,Pygmy,IE13B,South,Edge,Winter,05/04/2018,F,13:00,3.5,103,23,38.2,19.7,23.7
S64,Pygmy,IE13B,South,Edge,Winter,05/04/2018,F,13:00,3.4,96.9,24,34.4,19.1,22.4
S65,GWTS,IE13B,South,Edge,Winter,05/04/2018,M,13:00,13,120.8,27.3,48.3,25.6,28.2
S66,GWTS,IE13B,South,Edge,Winter,05/04/2018,M,13:00,13.6,123.5,23.2,54.5,25.9,28.3
S67,Pygmy,IE13B,South,Edge,Winter,05/04/2018,M,16:45,4.8,99.6,21.4,39.4,19.7,24.7
S68,Pygmy,IE13B,South,Edge,Winter,05/04/2018,M,18:00,4.9,96.3,20.4,36.3,19.8,24.5
S69,Pygmy,IE13B,South,Edge,Winter,05/04/2018,F,18:00,3.8,102,20.8,36.1,15.8,23.2
S70,Pygmy,IE13B,South,Edge,Winter,05/04/2018,M,18:00,5,89.1,20.5,39.2,19.5,24.7
S71,GWTS,IE13B,South,Edge,Winter,05/04/2018,F,18:00,12.8,122,27.3,51.6,23.5,29.1
S72,GWTS,IE13B,South,Edge,Winter,05/04/2018,F,18:00,13.6,125.2,25.5,52.1,25.2,29.5
E56,Pygmy,IE29,West,Outside,Winter,20/02/2018,Unknown,12:00,3,89.4,19.8,37,18.5,24.4
E57,Pygmy,IE29,West,Outside,Winter,20/02/2018,M,14:00,2.7,90.5,18.6,36.1,17.1,23.5
W11,Pygmy,IE29,West,Outside,Summer,22/08/2017,Unknown,13:00,3.7,93.4,17.8,36.5,16,21.5
W12,Pygmy,IE29,West,Outside,Summer,22/08/2017,Unknown,15:00,3.3,89,19.1,31.7,15,22.5
W13,Pygmy,IE29,West,Outside,Summer,22/08/2017,Unknown,17:00,3.4,92,19.1,36.5,15.8,19
W15,Pygmy,IE30,West,Outside,Summer,23/08/2017,Unknown,14:00,3.2,90.2,19.5,34.5,16.7,22
W16,Pygmy,IE30,West,Outside,Summer,23/08/2017,Unknown,16:00,3.2,80,20.5,22,13.4,21.6
W17,Pygmy,IE30,West,Outside,Summer,23/08/2017,Unknown,16:00,3.5,80.5,21.2,25,15.8,22
W79,Pygmy,IE31B,West,Outside,Winter,23/02/2018,M,11:15,2.9,92.7,20.1,34.9,18.4,23.8
W80,Pygmy,IE31B,West,Outside,Winter,23/02/2018,M,12:45,2.9,94.1,20.2,34,19.3,23.8
W59,Pygmy,IE35B,West,Edge,Winter,21/02/2018,F,11:00,3.1,95.8,19.7,35.7,18.3,24.5
W60,Pygmy,IE35B,West,Edge,Winter,21/02/2018,F,11:15,3.1,98.2,19.5,38.3,18.6,25.1
W61,Pygmy,IE35B,West,Edge,Winter,21/02/2018,M,11:15,3.1,91.5,20.3,34.3,19,25.4
W62,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,11:45,12.1,120,26,50.6,26.2,28.5
W63,Pygmy,IE35B,West,Edge,Winter,21/02/2018,M,13:15,2.9,97.5,20.1,39.4,19,24
W64,GWTS,IE35B,West,Edge,Winter,21/02/2018,F,13:15,12.2,116.9,23,53.2,25.2,29.3
W65,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,13:15,10.6,119,24.5,49.3,25.8,28.4
W66,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,13:15,9,117.5,24.8,51,25.5,29.4
W67,GWTS,IE35B,West,Edge,Winter,21/02/2018,F,14:00,12.6,114.5,23.6,55,24.3,27.3
W68,GWTS,IE35B,West,Edge,Winter,21/02/2018,F,15:00,12.7,120.3,24.9,56.5,25,27
W69,GWTS,IE35B,West,Edge,Winter,21/02/2018,M,15:15,11.4,122.2,24.6,50.8,25.7,29.4
W70,Pygmy,IE35B,West,Edge,Winter,21/02/2018,F,16:30,3.2,93.4,20.5,37,19.6,24.1
